path,class_
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass140.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass411.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass118.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic26.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic3.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal343.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard4.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass211.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper89.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal109.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper510.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper250.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper368.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass419.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper21.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper56.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal70.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash132.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper308.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper215.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash22.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal358.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper17.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal25.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper451.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard299.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic104.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass445.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic282.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal342.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard388.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic2.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper108.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass374.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass27.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper361.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper559.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic411.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass427.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal226.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass267.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard159.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal241.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass363.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal119.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass357.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic445.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass161.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal207.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic421.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal246.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper154.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper413.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper218.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic405.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard386.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal319.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash116.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper186.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic174.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal128.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper170.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass294.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass154.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash29.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal280.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal402.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper440.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass293.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic459.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash65.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic428.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard113.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal95.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper516.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper81.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal168.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper255.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper289.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard232.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper9.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper77.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal407.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard21.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash15.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass22.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper16.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal116.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass91.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper573.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal149.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic354.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass107.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic337.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass303.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic22.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic398.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass101.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal132.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass301.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal39.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard163.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper88.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper349.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass356.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper580.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal24.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic45.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal231.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper399.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper575.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper248.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal275.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal130.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper447.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper116.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass8.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper114.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper442.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass402.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard247.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal365.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard267.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash104.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic92.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal42.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper380.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass493.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper474.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic130.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass360.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass322.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic28.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash73.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal58.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic50.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper571.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash5.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic256.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard275.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard391.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic93.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass464.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass37.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper416.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass109.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal313.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal351.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass46.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal349.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass425.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic344.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard92.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass490.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper244.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper486.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal44.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass57.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard20.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard335.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic171.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic128.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic247.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard251.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic472.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass190.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass135.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass24.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard28.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic184.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper258.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic244.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass473.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass395.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic434.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper373.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal276.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash92.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper592.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal315.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper445.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper174.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper180.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper379.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard24.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper20.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal305.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass333.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper222.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass1.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard152.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass198.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard108.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal233.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass406.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass434.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal383.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic386.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash103.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal190.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper80.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal49.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic33.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal93.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal51.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic176.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard369.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic454.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic150.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic173.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper191.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass63.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass208.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal395.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic96.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper335.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic478.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard128.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic321.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard285.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard207.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard371.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash93.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper292.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass350.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard101.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic80.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass453.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic118.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal269.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper315.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash43.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic123.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper397.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic185.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal38.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic479.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal71.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard313.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass214.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal68.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash24.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal32.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass113.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass481.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic404.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard326.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass151.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic402.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal103.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic303.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper525.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard134.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper298.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic211.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal175.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass260.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper388.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic437.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper490.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard66.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass136.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard6.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass112.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper51.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic47.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass355.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper64.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard297.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal329.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass148.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass111.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic98.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard98.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard97.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass176.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass56.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic221.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass199.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard216.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard9.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard353.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper509.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic117.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass261.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic154.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass116.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash31.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass59.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard149.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard201.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard376.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic180.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper311.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash68.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard178.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper418.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass231.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic237.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard129.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard258.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass501.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic56.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal274.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass132.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic200.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard110.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard213.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper357.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal386.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic287.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic121.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard189.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass207.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal265.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic202.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic155.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper82.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard248.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper27.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash20.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic474.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal47.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash30.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass484.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic188.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationtrash/trash110.jpg,trash
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper111.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass18.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic356.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal182.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard38.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard365.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic223.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal94.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal9.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard123.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard86.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard154.jpg,cardboard
D:/Code/Flutter/recycle/model/Garbage classificationplastic/plastic366.jpg,plastic
D:/Code/Flutter/recycle/model/Garbage classificationpaper/paper143.jpg,paper
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass192.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal334.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass450.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass78.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal155.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass98.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationmetal/metal304.jpg,metal
D:/Code/Flutter/recycle/model/Garbage classificationglass/glass300.jpg,glass
D:/Code/Flutter/recycle/model/Garbage classificationcardboard/cardboard182.jpg,cardboard
